     t         y   
  1  0.0000    0.0000
  2  0.0200    0.0200
  3  0.0400    0.0400
  4  0.0600    0.0600
  5  0.0800    0.0800
  6  0.1000    0.1000
  7  0.1200    0.1200
  8  0.1400    0.1400
  9  0.1600    0.1600
 10  0.1800    0.1800
 11  0.2000    0.2000
 12  0.2200    0.2200
 13  0.2400    0.2400
 14  0.2600    0.2600
 15  0.2800    0.2800
 16  0.3000    0.3000
 17  0.3200    0.3200
 18  0.3400    0.3400
 19  0.3600    0.3600
 20  0.3800    0.3800
 21  0.4000    0.4000
 22  0.4200    0.4200
 23  0.4400    0.4400
 24  0.4600    0.4600
 25  0.4800    0.4800
 26  0.5000    0.5000
 27  0.5200    0.5200
 28  0.5400    0.5400
 29  0.5600    0.5600
 30  0.5800    0.5800
 31  0.6000    0.6000
 32  0.6200    0.6200
 33  0.6400    0.6400
 34  0.6600    0.6600
 35  0.6800    0.6800
 36  0.7000    0.7000
 37  0.7200    0.7200
 38  0.7400    0.7400
 39  0.7600    0.7600
 40  0.7800    0.7800
 41  0.8000    0.8000
 42  0.8200    0.8200
 43  0.8400    0.8400
 44  0.8600    0.8600
 45  0.8800    0.8800
 46  0.9000    0.9000
 47  0.9200    0.9200
 48  0.9400    0.9400
 49  0.9600    0.9600
 50  0.9800    0.9800
 51  1.0000    0.0000
 52  1.0200    0.0000
 53  1.0400    0.0000
 54  1.0600    0.0000
 55  1.0800    0.0000
 56  1.1000    0.0000
 57  1.1200    0.0000
 58  1.1400    0.0000
 59  1.1600    0.0000
 60  1.1800    0.0000
 61  1.2000    0.0000
 62  1.2200    0.0000
 63  1.2400    0.0000
 64  1.2600    0.0000
 65  1.2800    0.0000
 66  1.3000    0.0000
 67  1.3200    0.0000
 68  1.3400    0.0000
 69  1.3600    0.0000
 70  1.3800    0.0000
 71  1.4000    0.0000
 72  1.4200    0.0000
 73  1.4400    0.0000
 74  1.4600    0.0000
 75  1.4800    0.0000
 76  1.5000    0.0000
 77  1.5200    0.0000
 78  1.5400    0.0000
 79  1.5600    0.0000
 80  1.5800    0.0000
 81  1.6000    0.0000
 82  1.6200    0.0000
 83  1.6400    0.0000
 84  1.6600    0.0000
 85  1.6800    0.0000
 86  1.7000    0.0000
 87  1.7200    0.0000
 88  1.7400    0.0000
 89  1.7600    0.0000
 90  1.7800    0.0000
 91  1.8000    0.0000
 92  1.8200    0.0000
 93  1.8400    0.0000
 94  1.8600    0.0000
 95  1.8800    0.0000
 96  1.9000    0.0000
 97  1.9200    0.0000
 98  1.9400    0.0000
 99  1.9600    0.0000
100  1.9800    0.0000
101  2.0000    0.0000
